 1772 1  1
cluster file from TAD2; meaning encoded in file name                            
         42.24000000         42.24000000         80.00000000
(3f12.6,i2)                                                                     
   26.398079   21.132605    9.527975 1
   26.398749   24.650132    9.571950 1
   26.393477   28.154537    9.572104 1
   26.391512   31.683351    9.571082 1
   26.388145   35.201139    9.570948 1
   26.386716   38.721430    9.572998 1
   28.137622    1.783697    9.558878 1
   28.154169    5.284324    9.571349 1
   28.156739    8.794467    9.570325 1
   28.155823   12.308555    9.571703 1
   28.166204   15.830971    9.572519 1
   28.174843   19.345173    9.569981 1
   28.161017   22.904418    9.576364 1
   28.156016   26.398776    9.572543 1
   28.139707   29.919134    9.578285 1
   28.141740   33.445785    9.572081 1
   28.137759   36.962606    9.572774 1
   28.150479   40.467467    9.578445 1
   29.939798   -0.019717    9.559273 1
   29.922856    3.540221    9.577855 1
   29.919449    7.038789    9.570647 1
   29.914008   10.550021    9.571849 1
   29.903803   14.069075    9.572607 1
   29.922278   17.592439    9.574117 1
   29.923884   21.125724    9.594986 1
   29.925527   24.649880    9.574269 1
   29.914981   28.145773    9.577865 1
   29.898574   31.702896    9.559692 1
   29.914588   35.182558    9.572104 1
   29.925177   38.738011    9.572092 1
   31.698191    1.764712    9.577909 1
   31.686798    5.286763    9.572229 1
   31.679231    8.797592    9.570544 1
   31.681025   12.292274    9.573029 1
   31.680867   15.848817    9.572962 1
   31.677705   19.354728    9.577833 1
   31.681412   22.887464    9.579323 1
   31.682411   26.405301    9.572555 1
   31.699693   29.898844    9.559100 1
   31.689897   33.453428    9.578140 1
   31.701569   36.957798    9.572454 1
   31.695495   40.477762    9.571604 1
   33.445915    0.000413    9.570592 1
   33.446641    3.527302    9.572097 1
   33.442348    7.043683    9.570332 1
   33.445014   10.549396    9.571752 1
   33.459770   14.071830    9.572853 1
   33.437913   17.595859    9.573065 1
   33.435900   21.117872    9.595830 1
   33.433032   24.651013    9.574791 1
   33.449562   28.151575    9.571296 1
   33.459180   31.677325    9.577708 1
   33.453327   35.199776    9.572532 1
   33.446226   38.723113    9.570265 1
   35.201310    1.762232    9.570126 1
   35.200418    5.286281    9.570221 1
   35.203115    8.797604    9.570096 1
   35.202982   12.306994    9.571767 1
   35.199444   15.838303    9.572054 1
   35.194654   19.342739    9.568526 1
   35.182995   22.898665    9.573730 1
